,ESTADO,MUNICIPIO,MUJERES_INSEGURAS,TOTAL_MUJERES,TRIMESTRES,PERCEPCION_INSEGURIDAD,FEMINICIDIO,VIOLENCIA_FAMILIAR,VIOLENCIA_GENERO,TOTAL_DELITOS,POBLACION,FECHA
91,Oaxaca,San andres huayapam,2,3,2022-Q1,66666.66666666666,0.0,85.295121119072,0.0,85.295121119072,5862,2022-01-01
92,Oaxaca,San antonio de la cal,4,4,2022-Q1,100000.0,0.0,63.406515019418244,0.0,63.406515019418244,25234,2022-01-01
93,Oaxaca,San pablo etla,1,1,2022-Q1,100000.0,0.0,29.090062834535722,0.0,29.090062834535722,17188,2022-01-01
94,Oaxaca,San sebastian tutla,5,5,2022-Q1,100000.0,0.0,67.04659738518271,0.0,67.04659738518271,17898,2022-01-01
95,Oaxaca,Santa cruz amilpas,4,5,2022-Q1,80000.0,0.0,104.97416020671835,0.0,104.97416020671835,12384,2022-01-01
96,Oaxaca,Santa cruz xoxocotlan,25,28,2022-Q1,89285.71428571429,0.0,90.04523448838417,0.0,90.04523448838417,94397,2022-01-01
97,Oaxaca,Santa lucia del camino,9,16,2022-Q1,56250.0,0.0,92.72045768396133,0.0,92.72045768396133,50690,2022-01-01
98,Oaxaca,Santa maria del tule,6,9,2022-Q1,66666.66666666666,0.0,43.42633807404191,0.0,43.42633807404191,9211,2022-01-01
99,Oaxaca,Tlalixtac de cabrera,5,5,2022-Q1,100000.0,0.0,53.29070077271516,0.0,53.29070077271516,11259,2022-01-01
100,Puebla,Amozoc,9,9,2022-Q1,100000.0,0.0,53.32736984251223,0.0,53.32736984251223,116263,2022-01-01
101,Puebla,Cuautlancingo,4,6,2022-Q1,66666.66666666666,0.0,49.47778447477083,0.0,49.47778447477083,111161,2022-01-01
102,Puebla,Juan c. bonilla,2,3,2022-Q1,66666.66666666666,0.0,50.0751126690035,0.0,50.0751126690035,21967,2022-01-01
103,Puebla,Puebla,100,121,2022-Q1,82644.62809917355,0.0,38.32568300572871,0.0,38.32568300572871,1688163,2022-01-01
104,Puebla,San andres cholula,4,4,2022-Q1,100000.0,0.0,40.16216421020725,0.0,40.16216421020725,131965,2022-01-01
105,Puebla,San pedro cholula,6,10,2022-Q1,60000.0,0.7415097137772505,40.041524543971526,0.0,40.78303425774878,134860,2022-01-01
106,Queretaro,Corregidora,11,24,2022-Q1,45833.33333333333,0.0,25.650121428766337,2.728736322209185,28.378857750975524,183235,2022-01-01
107,Queretaro,Queretaro,69,114,2022-Q1,60526.31578947369,0.10551584056556491,57.82268062992957,8.652298926376323,66.58049539687146,947725,2022-01-01
108,Quintana roo,Benito juarez,120,133,2022-Q1,90225.56390977443,0.12846716828813645,76.30949796315305,0.0,76.43796513144119,778409,2022-01-01
109,Quintana roo,Othon p. blanco,91,140,2022-Q1,65000.0,0.0,93.69856425607071,0.0,93.69856425607071,241199,2022-01-01
110,San luis potosi,San luis potosi,89,108,2022-Q1,82407.4074074074,0.0,99.47999614471988,0.0,99.47999614471988,871532,2022-01-01
111,San luis potosi,Soledad de graciano sanchez,29,41,2022-Q1,70731.70731707316,0.0,104.47083252222437,0.0,104.47083252222437,308220,2022-01-01
112,Sinaloa,Ahome,43,146,2022-Q1,29452.05479452055,0.22479083213070236,64.73975965364228,0.0,64.96455048577299,444858,2022-01-01
113,Sinaloa,Culiacan,90,147,2022-Q1,61224.489795918365,0.31625053367277556,59.665934019596996,0.0,59.98218455326976,948615,2022-01-01
114,Sinaloa,Mazatlan,68,149,2022-Q1,45637.58389261745,0.0,24.047107237551963,0.0,24.047107237551963,478228,2022-01-01
115,Sonora,Cajeme,127,134,2022-Q1,94776.11940298507,0.0,47.3753363532193,0.0,47.3753363532193,428493,2022-01-01
116,Sonora,Hermosillo,99,153,2022-Q1,64705.88235294118,0.1162225801877692,47.76748045717314,0.0,47.88370303736091,860418,2022-01-01
117,Sonora,Nogales,74,129,2022-Q1,57364.34108527132,0.0,65.00523768316364,0.0,65.00523768316364,241519,2022-01-01
118,Tabasco,Centro,106,131,2022-Q1,80916.03053435114,0.43971055319984703,108.16879608716236,0.0,108.60850664036221,682267,2022-01-01
119,Tabasco,Nacajuca,11,12,2022-Q1,91666.66666666666,0.0,47.83667822106433,0.0,47.83667822106433,135879,2022-01-01
120,Tamaulipas,Altamira,8,38,2022-Q1,21052.631578947367,0.0,44.46896642593035,0.0,44.46896642593035,242866,2022-01-01
121,Tamaulipas,Ciudad madero,8,42,2022-Q1,19047.619047619046,0.0,47.502101968012084,0.0,47.502101968012084,210517,2022-01-01
122,Tamaulipas,Nuevo laredo,92,131,2022-Q1,70229.00763358778,0.244709383136587,24.96035707993187,0.0,25.205066463068462,408648,2022-01-01
123,Tamaulipas,Reynosa,107,124,2022-Q1,86290.32258064517,0.0,58.98908777697575,0.0,58.98908777697575,659444,2022-01-01
124,Tamaulipas,Tampico,17,58,2022-Q1,29310.344827586203,0.0,40.189695362109155,0.0,40.189695362109155,311025,2022-01-01
125,Tamaulipas,Victoria,87,141,2022-Q1,61702.12765957447,0.289636795458495,73.85738284191623,0.0,74.14701963737473,345260,2022-01-01
126,Tlaxcala,Apetatitlan de antonio carvajal,3,4,2022-Q1,75000.0,0.0,13.162224415926293,0.0,13.162224415926293,15195,2022-01-01
127,Tlaxcala,Apizaco,14,17,2022-Q1,82352.94117647059,0.0,2.424800863229107,0.0,2.424800863229107,82481,2022-01-01
128,Tlaxcala,Chiautempan,3,5,2022-Q1,60000.0,0.0,11.040269382572935,0.0,11.040269382572935,72462,2022-01-01
129,Tlaxcala,Contla de juan cuamatzi,6,8,2022-Q1,75000.0,0.0,2.65188681747063,0.0,2.65188681747063,37709,2022-01-01
130,Tlaxcala,Mazatecochco de jose maria morelos,5,5,2022-Q1,100000.0,0.0,0.0,0.0,0.0,10749,2022-01-01
131,Tlaxcala,Nativitas,4,4,2022-Q1,100000.0,0.0,7.729468599033816,0.0,7.729468599033816,25875,2022-01-01
132,Tlaxcala,Papalotla de xicohtencatl,1,9,2022-Q1,11111.111111111111,0.0,0.0,0.0,0.0,31345,2022-01-01
133,Tlaxcala,San damian texoloc,1,2,2022-Q1,50000.0,0.0,18.12250815512867,0.0,18.12250815512867,5518,2022-01-01
134,Tlaxcala,San francisco tetlanohcan,1,2,2022-Q1,50000.0,0.0,8.913450396648543,0.0,8.913450396648543,11219,2022-01-01
135,Tlaxcala,San jeronimo zacualpan,2,4,2022-Q1,50000.0,0.0,0.0,0.0,0.0,4052,2022-01-01
136,Tlaxcala,San pablo del monte,2,4,2022-Q1,50000.0,1.295001295001295,7.77000777000777,0.0,9.065009065009065,77220,2022-01-01
137,Tlaxcala,Santa cruz quilehtla,1,2,2022-Q1,50000.0,0.0,0.0,0.0,0.0,7108,2022-01-01
138,Tlaxcala,Santa isabel xiloxoxtla,3,4,2022-Q1,75000.0,0.0,0.0,0.0,0.0,5084,2022-01-01
139,Tlaxcala,Tetla de la solidaridad,14,18,2022-Q1,77777.77777777778,0.0,0.0,0.0,0.0,32765,2022-01-01
140,Tlaxcala,Tlaxcala,10,20,2022-Q1,50000.0,0.0,49.044139725753176,0.0,49.044139725753176,99910,2022-01-01
141,Tlaxcala,Tocatlan,2,5,2022-Q1,40000.0,0.0,0.0,0.0,0.0,6008,2022-01-01
142,Tlaxcala,Totolac,3,3,2022-Q1,100000.0,0.0,22.151337940811626,0.0,22.151337940811626,22572,2022-01-01
143,Tlaxcala,Xaloztoc,6,8,2022-Q1,75000.0,0.0,0.0,0.0,0.0,23783,2022-01-01
144,Tlaxcala,Yauhquemehcan,4,7,2022-Q1,57142.85714285714,0.0,0.0,0.0,0.0,38994,2022-01-01
145,Tlaxcala,Zacatelco,6,11,2022-Q1,54545.454545454544,0.0,11.381225530365109,0.0,11.381225530365109,43932,2022-01-01
146,Veracruz de ignacio de la llave,Boca del rio,31,44,2022-Q1,70454.54545454546,0.0,44.67649549567572,10.002200484106503,54.67869597978222,149967,2022-01-01
147,Veracruz de ignacio de la llave,Coatzacoalcos,126,144,2022-Q1,87500.0,0.6272404243908711,39.51614673662488,13.485669124403731,53.62905628541948,318857,2022-01-01
148,Veracruz de ignacio de la llave,Cosoleacaque,1,1,2022-Q1,100000.0,0.7720457668730601,16.212961104334266,3.0881830674922406,20.073189938699564,129526,2022-01-01
149,Veracruz de ignacio de la llave,Panuco,1,3,2022-Q1,33333.33333333333,0.0,30.643826801090924,0.0,30.643826801090924,97899,2022-01-01
150,Veracruz de ignacio de la llave,Pueblo viejo,5,13,2022-Q1,38461.53846153846,0.0,12.31462097355875,0.0,12.31462097355875,56843,2022-01-01
151,Veracruz de ignacio de la llave,Veracruz,68,93,2022-Q1,73118.27956989247,0.163890363902164,56.869956274050914,11.636215837053644,68.67006247500672,610164,2022-01-01
152,Veracruz de ignacio de la llave,Xalapa,80,124,2022-Q1,64516.12903225806,0.19760229376742605,46.04133444781027,6.916080281859912,53.15501702343761,506067,2022-01-01
153,Yucatan,Kanasin,2,10,2022-Q1,20000.0,0.0,0.0,0.0,0.0,111134,2022-01-01
154,Yucatan,Merida,30,116,2022-Q1,25862.068965517243,0.0,2.856683369447454,0.0,2.856683369447454,945152,2022-01-01
155,Yucatan,Progreso,8,12,2022-Q1,66666.66666666666,1.6649462222370217,0.0,0.0,1.6649462222370217,60062,2022-01-01
156,Yucatan,Uman,1,8,2022-Q1,12500.0,0.0,0.0,0.0,0.0,60275,2022-01-01
157,Zacatecas,Fresnillo,157,163,2022-Q1,96319.01840490797,0.4318609753148267,65.21100727253882,0.0,65.64286824785366,231556,2022-01-01
158,Zacatecas,Guadalupe,65,72,2022-Q1,90277.77777777778,0.5223759748841631,86.19203585588691,0.0,86.71441183077108,191433,2022-01-01
159,Zacatecas,Zacatecas,73,75,2022-Q1,97333.33333333334,0.0,79.59120885000736,0.0,79.59120885000736,149514,2022-01-01
160,Aguascalientes,Aguascalientes,72,130,2022-Q2,55384.61538461539,0.11142086110498295,60.278685857795786,0.3342625833149489,60.72436930221572,897498,2022-04-01
161,Aguascalientes,Jesus maria,8,9,2022-Q2,88888.88888888889,0.0,43.02555718096549,0.0,43.02555718096549,116210,2022-04-01
162,Baja california,Mexicali,119,145,2022-Q2,82068.96551724138,0.0,138.39114703094089,0.0,138.39114703094089,984167,2022-04-01
163,Baja california,Tijuana,120,142,2022-Q2,84507.04225352113,0.05780971700409235,77.52283050248784,0.0,77.58064021949194,1729813,2022-04-01
164,Baja california sur,La paz,60,132,2022-Q2,45454.545454545456,0.0,100.76789549560152,0.36776604195475004,101.13566153755627,271912,2022-04-01
165,Baja california sur,Los cabos,38,122,2022-Q2,31147.54098360656,0.0,136.5770977716921,0.0,136.5770977716921,285553,2022-04-01
166,Campeche,Campeche,76,145,2022-Q2,52413.79310344828,0.3496919214172314,82.87698537588385,0.0,83.22667729730108,285966,2022-04-01
167,Campeche,Carmen,101,139,2022-Q2,72661.87050359712,0.8453835716610518,24.093431792339977,0.0,24.93881536400103,236579,2022-04-01
168,Chiapas,Chiapa de corzo,9,11,2022-Q2,81818.18181818182,0.0,14.820523460888637,0.0,14.820523460888637,101211,2022-04-01
169,Chiapas,Tapachula,135,148,2022-Q2,91216.21621621621,0.28708738365783776,27.560388831152423,0.0,27.84747621481026,348326,2022-04-01
170,Chiapas,Tuxtla gutierrez,128,146,2022-Q2,87671.23287671233,0.0,11.055084018638542,0.0,11.055084018638542,606056,2022-04-01
171,Chihuahua,Chihuahua,103,152,2022-Q2,67763.15789473685,0.11105163679007464,101.50119602612823,0.6663098207404479,102.27855748365874,900482,2022-04-01
172,Chihuahua,Juarez,109,148,2022-Q2,73648.64864864865,0.2813111632005615,153.10360057190562,0.3516389540007019,153.73655068910685,1421913,2022-04-01
173,Ciudad de mexico,Alvaro obregon,118,147,2022-Q2,80272.10884353741,0.25669887809755326,92.92499387131429,0.0,93.18169274941184,779123,2022-04-01
174,Ciudad de mexico,Azcapotzalco,102,139,2022-Q2,73381.29496402877,0.22425899222494075,111.23246014357059,0.0,111.45671913579554,445913,2022-04-01
175,Ciudad de mexico,Benito juarez,45,135,2022-Q2,33333.33333333333,0.22672600842060395,81.16791101457622,0.0,81.39463702299682,441061,2022-04-01
176,Ciudad de mexico,Coyoacan,84,146,2022-Q2,57534.24657534246,0.0,103.48068615654974,0.0,103.48068615654974,653262,2022-04-01
177,Ciudad de mexico,Cuajimalpa de morelos,59,147,2022-Q2,40136.054421768706,0.0,81.87953768825194,0.0,81.87953768825194,211286,2022-04-01
178,Ciudad de mexico,Cuauhtemoc,97,138,2022-Q2,70289.85507246378,0.7079157367898499,135.56586359525625,0.0,136.2737793320461,565039,2022-04-01
